JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2450162.21,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450162.95,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450163.4,<12.8,,,Vis.,MLF,,,,,,,,V,,,,GW LIB,,STD,,,,
2450169.2,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450171.14,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450172.12,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450175.14,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450182.2,<12.4,,,Vis.,MLF,,,,,,,,V,,,,GW LIB,,STD,,,,
2450183.19,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450183.3,<12.4,,,Vis.,MLF,,,,,,,,V,,,,GW LIB,,STD,,,,
2450187.91,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450189.18,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450189.6,<12.1,,,Vis.,MLF,,,,,,,,V,,,,GW LIB,,STD,,,,
2450190.17,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450190.96,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450195.89,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450197.16,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450197.93,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450200.18,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450201.15,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450204.16,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450205.22,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450209.83,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450212.94,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450213.99,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450214.85,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450215.82,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450218.3,<12.0,,,Vis.,MLF,,,,,,,,V,,,,GW LIB,,STD,,,,
2450218.85,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
